"","Site","bins","bin.lag","sqID","Quarter","taxnovel","funcnovel","Country","HydroBasin","TS_Length","Yrs_passed","Yr_pos","bin.lagS","Yrs_passedS","logYr_posS"
"G10008 Q3.G10008 Q3.21","G10008",2014,1,"G10008 Q3",3,FALSE,FALSE,"SWE",2080030340,5,6,5,-0.374789416551989,-0.275221698566214,-0.0481501092455202
"G10016 Q4.G10016 Q4.22","G10016",1996,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10016 Q4.G10016 Q4.23","G10016",1997,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,1,2,-0.374789416551989,-1.04703627211611,-1.16067756918438
"G10016 Q4.G10016 Q4.24","G10016",1999,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,3,3,0.48797983446387,-0.738310442696151,-0.668376325566249
"G10016 Q4.G10016 Q4.25","G10016",2000,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,4,4,-0.374789416551989,-0.583947527986172,-0.319083034472825
"G10016 Q4.G10016 Q4.26","G10016",2002,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,6,5,0.48797983446387,-0.275221698566214,-0.0481501092455202
"G10016 Q4.G10016 Q4.27","G10016",2004,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,8,6,0.48797983446387,0.0335041308537439,0.173218209145301
"G10016 Q4.G10016 Q4.28","G10016",2006,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,10,7,0.48797983446387,0.342229960273702,0.360382455503323
"G10016 Q4.G10016 Q4.29","G10016",2008,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,12,8,0.48797983446387,0.65095578969366,0.522511500238724
"G10016 Q4.G10016 Q4.30","G10016",2009,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,13,9,-0.374789416551989,0.805318704403639,0.665519452763427
"G10016 Q4.G10016 Q4.31","G10016",2010,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,14,10,-0.374789416551989,0.959681619113618,0.79344442546603
"G10016 Q4.G10016 Q4.32","G10016",2012,2,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,16,11,0.48797983446387,1.26840744853358,0.909166639557555
"G10016 Q4.G10016 Q4.33","G10016",2013,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,17,12,-0.374789416551989,1.42277036324355,1.01481274385685
"G10016 Q4.G10016 Q4.34","G10016",2014,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,18,13,-0.374789416551989,1.57713327795353,1.11199773892117
"G10016 Q4.G10016 Q4.35","G10016",2015,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,19,14,-0.374789416551989,1.73149619266351,1.20197699021487
"G10016 Q4.G10016 Q4.36","G10016",2016,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,20,15,-0.374789416551989,1.88585910737349,1.28574566908416
"G10016 Q4.G10016 Q4.37","G10016",2017,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,21,16,-0.374789416551989,2.04022202208347,1.36410603495027
"G10016 Q4.G10016 Q4.38","G10016",2018,1,"G10016 Q4",4,FALSE,FALSE,"SWE",2080030160,17,22,17,-0.374789416551989,2.19458493679345,1.4377142841369
"G10019 Q3.G10019 Q3.39","G10019",1999,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10019 Q3.G10019 Q3.40","G10019",2000,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,1,2,-0.374789416551989,-1.04703627211611,-1.16067756918438
"G10019 Q3.G10019 Q3.41","G10019",2001,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,2,3,-0.374789416551989,-0.89267335740613,-0.668376325566249
"G10019 Q3.G10019 Q3.42","G10019",2002,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,3,4,-0.374789416551989,-0.738310442696151,-0.319083034472825
"G10019 Q3.G10019 Q3.43","G10019",2003,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,4,5,-0.374789416551989,-0.583947527986172,-0.0481501092455202
"G10019 Q3.G10019 Q3.44","G10019",2004,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,5,6,-0.374789416551989,-0.429584613276193,0.173218209145301
"G10019 Q3.G10019 Q3.45","G10019",2005,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,6,7,-0.374789416551989,-0.275221698566214,0.360382455503323
"G10019 Q3.G10019 Q3.46","G10019",2006,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,7,8,-0.374789416551989,-0.120858783856235,0.522511500238724
"G10019 Q3.G10019 Q3.47","G10019",2007,1,"G10019 Q3",3,FALSE,FALSE,"SWE",2080032990,9,8,9,-0.374789416551989,0.0335041308537439,0.665519452763427
"G10021 Q4.G10021 Q4.48","G10021",1991,1,"G10021 Q4",4,TRUE,TRUE,"FIN",2080030100,12,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10021 Q4.G10021 Q4.49","G10021",1993,2,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10021 Q4.G10021 Q4.50","G10021",1994,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,3,3,-0.374789416551989,-0.738310442696151,-0.668376325566249
"G10021 Q4.G10021 Q4.51","G10021",1995,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,4,4,-0.374789416551989,-0.583947527986172,-0.319083034472825
"G10021 Q4.G10021 Q4.52","G10021",1996,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,5,5,-0.374789416551989,-0.429584613276193,-0.0481501092455202
"G10021 Q4.G10021 Q4.53","G10021",1997,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,6,6,-0.374789416551989,-0.275221698566214,0.173218209145301
"G10021 Q4.G10021 Q4.54","G10021",1998,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,7,7,-0.374789416551989,-0.120858783856235,0.360382455503323
"G10021 Q4.G10021 Q4.55","G10021",1999,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,8,8,-0.374789416551989,0.0335041308537439,0.522511500238724
"G10021 Q4.G10021 Q4.56","G10021",2000,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,9,9,-0.374789416551989,0.187867045563723,0.665519452763427
"G10021 Q4.G10021 Q4.57","G10021",2001,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,10,10,-0.374789416551989,0.342229960273702,0.79344442546603
"G10021 Q4.G10021 Q4.58","G10021",2002,1,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,11,11,-0.374789416551989,0.496592874983681,0.909166639557555
"G10021 Q4.G10021 Q4.59","G10021",2005,3,"G10021 Q4",4,FALSE,FALSE,"FIN",2080030100,12,14,12,1.35074908547973,0.959681619113618,1.01481274385685
"G10024 Q4.G10024 Q4.60","G10024",1999,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,0,1,0.48797983446387,-1.20139918682609,-2.00227210389592
"G10024 Q4.G10024 Q4.61","G10024",2000,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,1,2,-0.374789416551989,-1.04703627211611,-1.16067756918438
"G10024 Q4.G10024 Q4.62","G10024",2002,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,3,3,0.48797983446387,-0.738310442696151,-0.668376325566249
"G10024 Q4.G10024 Q4.63","G10024",2004,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,5,4,0.48797983446387,-0.429584613276193,-0.319083034472825
"G10024 Q4.G10024 Q4.64","G10024",2006,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,7,5,0.48797983446387,-0.120858783856235,-0.0481501092455202
"G10024 Q4.G10024 Q4.65","G10024",2008,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,9,6,0.48797983446387,0.187867045563723,0.173218209145301
"G10024 Q4.G10024 Q4.66","G10024",2009,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,10,7,-0.374789416551989,0.342229960273702,0.360382455503323
"G10024 Q4.G10024 Q4.67","G10024",2010,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,11,8,-0.374789416551989,0.496592874983681,0.522511500238724
"G10024 Q4.G10024 Q4.68","G10024",2012,2,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,13,9,0.48797983446387,0.805318704403639,0.665519452763427
"G10024 Q4.G10024 Q4.69","G10024",2013,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,14,10,-0.374789416551989,0.959681619113618,0.79344442546603
"G10024 Q4.G10024 Q4.70","G10024",2014,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,15,11,-0.374789416551989,1.1140445338236,0.909166639557555
"G10024 Q4.G10024 Q4.71","G10024",2015,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,16,12,-0.374789416551989,1.26840744853358,1.01481274385685
"G10024 Q4.G10024 Q4.72","G10024",2016,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,17,13,-0.374789416551989,1.42277036324355,1.11199773892117
"G10024 Q4.G10024 Q4.73","G10024",2017,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,18,14,-0.374789416551989,1.57713327795353,1.20197699021487
"G10024 Q4.G10024 Q4.74","G10024",2018,1,"G10024 Q4",4,FALSE,FALSE,"SWE",2080030160,15,19,15,-0.374789416551989,1.73149619266351,1.28574566908416
"G10026 Q4.G10026 Q4.75","G10026",1991,1,"G10026 Q4",4,TRUE,FALSE,"FIN",2080030100,12,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10026 Q4.G10026 Q4.76","G10026",1993,2,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10026 Q4.G10026 Q4.77","G10026",1994,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,3,3,-0.374789416551989,-0.738310442696151,-0.668376325566249
"G10026 Q4.G10026 Q4.78","G10026",1995,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,4,4,-0.374789416551989,-0.583947527986172,-0.319083034472825
"G10026 Q4.G10026 Q4.79","G10026",1996,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,5,5,-0.374789416551989,-0.429584613276193,-0.0481501092455202
"G10026 Q4.G10026 Q4.80","G10026",1997,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,6,6,-0.374789416551989,-0.275221698566214,0.173218209145301
"G10026 Q4.G10026 Q4.81","G10026",1998,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,7,7,-0.374789416551989,-0.120858783856235,0.360382455503323
"G10026 Q4.G10026 Q4.82","G10026",1999,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,8,8,-0.374789416551989,0.0335041308537439,0.522511500238724
"G10026 Q4.G10026 Q4.83","G10026",2000,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,9,9,-0.374789416551989,0.187867045563723,0.665519452763427
"G10026 Q4.G10026 Q4.84","G10026",2001,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,10,10,-0.374789416551989,0.342229960273702,0.79344442546603
"G10026 Q4.G10026 Q4.85","G10026",2002,1,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,11,11,-0.374789416551989,0.496592874983681,0.909166639557555
"G10026 Q4.G10026 Q4.86","G10026",2005,3,"G10026 Q4",4,FALSE,FALSE,"FIN",2080030100,12,14,12,1.35074908547973,0.959681619113618,1.01481274385685
"G10027 Q4.G10027 Q4.87","G10027",2005,2,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,0,1,0.48797983446387,-1.20139918682609,-2.00227210389592
"G10027 Q4.G10027 Q4.88","G10027",2008,3,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,3,2,1.35074908547973,-0.738310442696151,-1.16067756918438
"G10027 Q4.G10027 Q4.89","G10027",2010,2,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,5,3,0.48797983446387,-0.429584613276193,-0.668376325566249
"G10027 Q4.G10027 Q4.90","G10027",2015,5,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,10,4,3.07628758751145,0.342229960273702,-0.319083034472825
"G10027 Q4.G10027 Q4.91","G10027",2016,1,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,11,5,-0.374789416551989,0.496592874983681,-0.0481501092455202
"G10027 Q4.G10027 Q4.92","G10027",2018,2,"G10027 Q4",4,FALSE,FALSE,"SWE",2080030220,6,13,6,0.48797983446387,0.805318704403639,0.173218209145301
"G10029 Q4.G10029 Q4.93","G10029",2002,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,0,1,0.48797983446387,-1.20139918682609,-2.00227210389592
"G10029 Q4.G10029 Q4.94","G10029",2004,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10029 Q4.G10029 Q4.95","G10029",2006,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,4,3,0.48797983446387,-0.583947527986172,-0.668376325566249
"G10029 Q4.G10029 Q4.96","G10029",2008,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,6,4,0.48797983446387,-0.275221698566214,-0.319083034472825
"G10029 Q4.G10029 Q4.97","G10029",2010,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,8,5,0.48797983446387,0.0335041308537439,-0.0481501092455202
"G10029 Q4.G10029 Q4.98","G10029",2012,2,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,10,6,0.48797983446387,0.342229960273702,0.173218209145301
"G10029 Q4.G10029 Q4.99","G10029",2013,1,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,11,7,-0.374789416551989,0.496592874983681,0.360382455503323
"G10029 Q4.G10029 Q4.100","G10029",2016,3,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,14,8,1.35074908547973,0.959681619113618,0.522511500238724
"G10029 Q4.G10029 Q4.101","G10029",2017,1,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,15,9,-0.374789416551989,1.1140445338236,0.665519452763427
"G10029 Q4.G10029 Q4.102","G10029",2018,1,"G10029 Q4",4,FALSE,FALSE,"SWE",2080030160,10,16,10,-0.374789416551989,1.26840744853358,0.79344442546603
"G10030 Q4.G10030 Q4.103","G10030",2003,1,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10030 Q4.G10030 Q4.104","G10030",2005,2,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10030 Q4.G10030 Q4.105","G10030",2008,3,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,5,3,1.35074908547973,-0.429584613276193,-0.668376325566249
"G10030 Q4.G10030 Q4.106","G10030",2010,2,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,7,4,0.48797983446387,-0.120858783856235,-0.319083034472825
"G10030 Q4.G10030 Q4.107","G10030",2015,5,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,12,5,3.07628758751145,0.65095578969366,-0.0481501092455202
"G10030 Q4.G10030 Q4.108","G10030",2016,1,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,13,6,-0.374789416551989,0.805318704403639,0.173218209145301
"G10030 Q4.G10030 Q4.109","G10030",2018,2,"G10030 Q4",4,FALSE,FALSE,"SWE",2080030220,7,15,7,0.48797983446387,1.1140445338236,0.360382455503323
"G10036 Q4.G10036 Q4.110","G10036",2001,1,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10036 Q4.G10036 Q4.111","G10036",2003,2,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10036 Q4.G10036 Q4.112","G10036",2005,2,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,4,3,0.48797983446387,-0.583947527986172,-0.668376325566249
"G10036 Q4.G10036 Q4.113","G10036",2008,3,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,7,4,1.35074908547973,-0.120858783856235,-0.319083034472825
"G10036 Q4.G10036 Q4.114","G10036",2009,1,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,8,5,-0.374789416551989,0.0335041308537439,-0.0481501092455202
"G10036 Q4.G10036 Q4.115","G10036",2010,1,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,9,6,-0.374789416551989,0.187867045563723,0.173218209145301
"G10036 Q4.G10036 Q4.116","G10036",2016,6,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,15,7,3.93905683852731,1.1140445338236,0.360382455503323
"G10036 Q4.G10036 Q4.117","G10036",2018,2,"G10036 Q4",4,FALSE,FALSE,"SWE",2080030220,8,17,8,0.48797983446387,1.42277036324355,0.522511500238724
"G10037 Q4.G10037 Q4.118","G10037",2005,2,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,0,1,0.48797983446387,-1.20139918682609,-2.00227210389592
"G10037 Q4.G10037 Q4.119","G10037",2008,3,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,3,2,1.35074908547973,-0.738310442696151,-1.16067756918438
"G10037 Q4.G10037 Q4.120","G10037",2010,2,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,5,3,0.48797983446387,-0.429584613276193,-0.668376325566249
"G10037 Q4.G10037 Q4.121","G10037",2012,2,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,7,4,0.48797983446387,-0.120858783856235,-0.319083034472825
"G10037 Q4.G10037 Q4.122","G10037",2016,4,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,11,5,2.21351833649559,0.496592874983681,-0.0481501092455202
"G10037 Q4.G10037 Q4.123","G10037",2017,1,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,12,6,-0.374789416551989,0.65095578969366,0.173218209145301
"G10037 Q4.G10037 Q4.124","G10037",2018,1,"G10037 Q4",4,FALSE,FALSE,"SWE",2080030220,7,13,7,-0.374789416551989,0.805318704403639,0.360382455503323
"G10038 Q4.G10038 Q4.125","G10038",1997,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10038 Q4.G10038 Q4.126","G10038",1999,2,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10038 Q4.G10038 Q4.127","G10038",2000,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,3,3,-0.374789416551989,-0.738310442696151,-0.668376325566249
"G10038 Q4.G10038 Q4.128","G10038",2002,2,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,5,4,0.48797983446387,-0.429584613276193,-0.319083034472825
"G10038 Q4.G10038 Q4.129","G10038",2004,2,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,7,5,0.48797983446387,-0.120858783856235,-0.0481501092455202
"G10038 Q4.G10038 Q4.130","G10038",2005,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,8,6,-0.374789416551989,0.0335041308537439,0.173218209145301
"G10038 Q4.G10038 Q4.131","G10038",2008,3,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,11,7,1.35074908547973,0.496592874983681,0.360382455503323
"G10038 Q4.G10038 Q4.132","G10038",2010,2,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,13,8,0.48797983446387,0.805318704403639,0.522511500238724
"G10038 Q4.G10038 Q4.133","G10038",2012,2,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,15,9,0.48797983446387,1.1140445338236,0.665519452763427
"G10038 Q4.G10038 Q4.134","G10038",2013,1,"G10038 Q4",4,FALSE,TRUE,"SWE",2080030160,15,16,10,-0.374789416551989,1.26840744853358,0.79344442546603
"G10038 Q4.G10038 Q4.135","G10038",2014,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,17,11,-0.374789416551989,1.42277036324355,0.909166639557555
"G10038 Q4.G10038 Q4.136","G10038",2015,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,18,12,-0.374789416551989,1.57713327795353,1.01481274385685
"G10038 Q4.G10038 Q4.137","G10038",2016,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,19,13,-0.374789416551989,1.73149619266351,1.11199773892117
"G10038 Q4.G10038 Q4.138","G10038",2017,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,20,14,-0.374789416551989,1.88585910737349,1.20197699021487
"G10038 Q4.G10038 Q4.139","G10038",2018,1,"G10038 Q4",4,FALSE,FALSE,"SWE",2080030160,15,21,15,-0.374789416551989,2.04022202208347,1.28574566908416
"G10039 Q4.G10039 Q4.140","G10039",2009,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10039 Q4.G10039 Q4.141","G10039",2010,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,1,2,-0.374789416551989,-1.04703627211611,-1.16067756918438
"G10039 Q4.G10039 Q4.142","G10039",2011,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,2,3,-0.374789416551989,-0.89267335740613,-0.668376325566249
"G10039 Q4.G10039 Q4.143","G10039",2012,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,3,4,-0.374789416551989,-0.738310442696151,-0.319083034472825
"G10039 Q4.G10039 Q4.144","G10039",2013,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,4,5,-0.374789416551989,-0.583947527986172,-0.0481501092455202
"G10039 Q4.G10039 Q4.145","G10039",2014,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,5,6,-0.374789416551989,-0.429584613276193,0.173218209145301
"G10039 Q4.G10039 Q4.146","G10039",2015,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,6,7,-0.374789416551989,-0.275221698566214,0.360382455503323
"G10039 Q4.G10039 Q4.147","G10039",2016,1,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,7,8,-0.374789416551989,-0.120858783856235,0.522511500238724
"G10039 Q4.G10039 Q4.148","G10039",2018,2,"G10039 Q4",4,FALSE,FALSE,"SWE",2080032980,9,9,9,0.48797983446387,0.187867045563723,0.665519452763427
"G10040 Q4.G10040 Q4.149","G10040",2001,1,"G10040 Q4",4,FALSE,FALSE,"SWE",2080030220,10,0,1,-0.374789416551989,-1.20139918682609,-2.00227210389592
"G10040 Q4.G10040 Q4.150","G10040",2003,2,"G10040 Q4",4,FALSE,FALSE,"SWE",2080030220,10,2,2,0.48797983446387,-0.89267335740613,-1.16067756918438
"G10040 Q4.G10040 Q4.151","G10040",2005,2,"G10040 Q4",4,FALSE,FALSE,"SWE",2080030220,10,4,3,0.48797983446387,-0.583947527986172,-0.668376325566249
"G10040 Q4.G10040 Q4.152","G10040",2008,3,"G10040 Q4",4,FALSE,FALSE,"SWE",2080030220,10,7,4,1.35074908547973,-0.120858783856235,-0.319083034472825
